Date,Open,High,Low,Close,RSI
02-Jan-91,1027.38,1027.38,999.26,999.26,0.0
03-Jan-91,983.51,989.08,981.08,982.35,0.0
07-Jan-91,982.81,1010.77,978.69,1010.77,0.0
09-Jan-91,1007.66,1013.8,998.09,1008.52,0.0
11-Jan-91,1000.51,1034.3,997.04,1034.3,0.0
14-Jan-91,1012.8,1017.98,1004.91,1017.72,60.26239715365803
23-Jan-91,1014.36,1014.36,998.77,1001.38,49.109772119784346
24-Jan-91,991.28,991.28,967.69,971.8,34.61406435853014
25-Jan-91,966.31,966.31,947.14,956.11,28.9486180389748
31-Jan-91,993.54,996.62,981.97,982.32,47.04657893456075
01-Feb-91,987.11,1021.95,983.23,1021.95,64.25495874982562
04-Feb-91,1035.13,1059.2,1035.13,1052.04,72.68093039146811
05-Feb-91,1064.84,1074.46,1062.06,1070.29,76.82295721547649
06-Feb-91,1079.99,1079.99,1056.67,1061.87,70.64574858571953
07-Feb-91,1045.91,1045.91,1023.17,1039.45,55.730575265424754
08-Feb-91,1037.5,1038.35,1030.23,1030.23,50.27432993077167
11-Feb-91,1015.55,1016.11,1010.35,1013.5,41.138915821984824
13-Feb-91,1006.15,1014.28,1002.88,1004.94,36.855660322671376
14-Feb-91,1009.24,1024.89,1009.24,1024.23,51.175226281456034
15-Feb-91,1028.55,1039.78,1028.55,1039.6,60.17113452012011
19-Feb-91,1118.2,1149.89,1112.67,1149.89,84.98517173231286
20-Feb-91,1124.3,1148.32,1124.3,1148.33,84.05923059622951
21-Feb-91,1170.21,1170.82,1147.14,1153.29,84.7208474801696
22-Feb-91,1194.36,1194.36,1177.87,1179.33,87.99162413619861
25-Feb-91,1177.87,1177.87,1177.87,1177.87,86.69101264068662
26-Feb-91,1191.36,1219.68,1191.36,1205.2,90.11118091897255
27-Feb-91,1202.63,1221.55,1196.46,1221.55,91.70520924728706
28-Feb-91,1242.26,1249.36,1220.41,1220.41,90.43468273937155
04-Mar-91,1200.43,1231.29,1191.13,1225.44,91.11370439780606
05-Mar-91,1219.68,1251.07,1219.68,1245.93,93.4729979597282
07-Mar-91,1158.55,1158.55,1137.59,1151.05,36.8475025374379
08-Mar-91,1156.9,1191.05,1154.88,1191.05,52.12974036331706
11-Mar-91,1171.23,1174.72,1158.55,1174.72,46.39981600590407
12-Mar-91,1157.59,1165.9,1151.51,1165.9,43.19440834955108
13-Mar-91,1170.21,1188.91,1160.08,1160.08,40.86582547064915
14-Mar-91,1150.54,1196.48,1150.54,1196.48,58.39888061869765
15-Mar-91,1214.08,1229.79,1204.69,1206.75,62.3371983938534
18-Mar-91,1181.58,1187.85,1170.63,1171.08,44.17925061632422
20-Mar-91,1180.92,1182.72,1169.02,1171.92,44.65381307348633
21-Mar-91,1144.87,1165.44,1144.87,1165.2,41.15500311179884
22-Mar-91,1198.3,1201.8,1171.31,1171.59,46.16849085679503
25-Mar-91,1158.51,1160.66,1152.53,1155.46,36.38673136933154
26-Mar-91,1151.54,1171.2,1151.33,1170.59,49.0449620193939
27-Mar-91,1175.55,1189.87,1167.61,1167.97,47.01971651807199
01-Apr-91,1179.18,1198.64,1179.18,1193.61,64.80038077872806
02-Apr-91,1204.02,1211.12,1198.1,1209.23,71.96518621294658
03-Apr-91,1217.01,1217.76,1202.54,1202.9,65.23847294104603
04-Apr-91,1194.91,1200.64,1194.91,1197.12,58.949303673804515
05-Apr-91,1212.85,1219.83,1207.18,1218.12,71.44925678751086
08-Apr-91,1222.47,1241.02,1218.07,1238.7,79.20577326645451
09-Apr-91,1250.59,1256.8,1238.84,1240.53,79.8152926086408
11-Apr-91,1239.39,1259.28,1236.84,1259.28,85.32458021710889
12-Apr-91,1279.6,1300.45,1279.6,1288.02,90.36388378320461
15-Apr-91,1306.7,1316.38,1298.91,1302.5,92.07724205864345
16-Apr-91,1299.26,1299.26,1262.98,1274.97,64.72619763665719
18-Apr-91,1260.53,1276.85,1256.14,1271.62,61.92813013125825
19-Apr-91,1278.41,1291.64,1278.41,1283.94,68.23971465247244
22-Apr-91,1273.89,1288.33,1273.78,1287.27,69.92430168604932
23-Apr-91,1273.35,1289.08,1273.35,1276.94,57.99612334424459
24-Apr-91,1270.21,1282.81,1264.76,1274.56,55.28029100775057
25-Apr-91,1291.95,1300.55,1291.95,1296.54,70.97227213510632
26-Apr-91,1304.1,1304.11,1286.46,1286.59,59.21478819456175
29-Apr-91,1275.09,1275.09,1258.88,1267.46,42.35277406629911
30-Apr-91,1263.85,1263.85,1235.11,1235.11,26.438532589409405
03-May-91,1269.39,1278.12,1264.39,1272.09,52.13697725620666
06-May-91,1264.76,1267.65,1253.21,1255.42,43.561835101847215
07-May-91,1239.96,1257.25,1239.96,1255.04,43.35863259241082
08-May-91,1272.82,1272.82,1265.77,1266.34,51.72849961204957
09-May-91,1254.69,1269.62,1253.69,1260.29,47.073220894013396
10-May-91,1278.1,1288.35,1277.92,1288.35,65.21967423981941
13-May-91,1296.52,1302.36,1289.13,1289.13,65.62914563440977
